instruction,reference,generated,cosine_similarity
肛门病变可能是什么疾病的症状?,食管克罗恩病,肛门瘙痒症；痔病；直肠脱垂,0.9634284973144531
白带增多发黄怎么个情况？，最近几天，感觉自己的内裤一天下来会有比较多偏黄的粘液痕迹。刚开始以为是尿液比较黄，经过仔细观察发觉是泛黄的白带。医生，您好白带增多泛黄怎么回事？,白带增多泛黄应该是患阴道炎了，而且是细菌性阴道炎的可能性大，你可以用妇科洗剂擦洗外阴阴道，同时口服些妇科千金片或者花红颗粒，具体用药谨遵医嘱，如果效果不佳。较好到医院去做白带常规仔细检查，查明病因后必要时再出针对性的用药治疗。平常以清淡饮食为基础，尽量多喝水。白带增多患者可以在理解专业治疗的同时，在生活中用食疗做为辅助治疗，在日常生活饮食中需要有恰当饮食，防止刺激性食物。,白带增多泛黄，这种情况可能会是因为阴道炎导致的，建议您及时去医院检查一下白带常规，明确病因后对症治疗，平时要注意个人卫生，始终保持外阴清洁干燥，勤换洗衣物内裤，饮食上不要吃辛辣刺激性的食物，多喝温开水，防止着凉。妇科病是一种容易病发的妇科疾病，在服药期间，女性需要有看重自身的护理，尤其是护理方面，建议患者多注意注意阴部卫生，饮食清淡为基础。,0.9915294647216797
天雄的药用植物栽培是什么?,1.气候土壤：天雄喜温暖、湿润和向阳环境，宜选土层深厚肥沃、土质疏松、排水良好的土壤栽种。2.种植：根块繁殖，选大的子根或野生乌头作种。在冬至前6-10天栽种，行距1尺，株距5寸，种前施足底肥，开2寸深沟，使芽向上栽入沟内，覆土1-2寸，每亩用种根240-300斤，地冻前浇水，并盖土粪一层越冬。等二年苗高1尺左右，摘除顶。一般留6-8片叶，并随时去腋芽。3.田间管理：生长时间，有根腐病和霜霉病害，应加强管理，注意排水通风。霜霉病发病初期可喷射波尔多液或代森铵防治。4.采集加工：于6月底7月初时挖取根部，洗净泥土，晒干。炮制方法1.《雷公炮炙论》：宜炮皴坼后去皮尖底用，不然阴制用并得。2.《药性论》：干姜制用之。3.《日华子本草》：凡丸、散炮去皮脐用，饮药即和皮生使甚佳。4.《纲目》：熟用。一法，每十两，以酒浸七日，掘土坑，用炭半枰煅赤，去火，以醋二升沃之，候干，趁热入天雄在内，小盆合一夜，取出，去脐用之。,天雄为多年生草本。根茎粗壮，长圆柱形，有分枝，节间膨大呈纺锤状，外皮棕褐色至灰棕色，内部白色或淡黄色。叶片互生，长椭圆形或披针形，先端渐尖，基部楔形，全缘；叶柄长，无毛。花单性，雌雄同株；雄花序伞房状；雌花序头状，花被片4～5，黄绿色，边缘膜质。瘦果近卵形，长3～4毫米，表面光滑，,0.8353962898254395
药流后有巧克力白带是没流干净吗，意外怀孕怎么办伤害比较小请问药流后有巧克力白带是没流干净吗,你的这种情况可能是细菌性或霉菌性阴道炎，可以用苦参或土槿皮煎水熏洗治疗，有一定效果，苦参或土槿皮有抗炎及抗真菌作用，后者不能内服。，其实一般情况下，进行任何一种流产方式都会对患者有一定的影响。所以患者应该注意自身护理。流产患者注意自身护理，例如当的进行饮食调理，注意保暖避免着凉。,你好，一般在药流后1周左右就会有褐色分泌物的。如果超过这个时间的话，就可能是没有流干净了。建议你到医院做一下B超看看，确定是否还有残留物。如果有残留物的话，可以采用清宫术进行治疗。，其实一般情况下，进行任何一种流产方式都会对女性有一定的危害。所以患者应该注意自身饮食。流产患者注意自身护理，例如当的进行饮食调理，注意保暖避免着凉。,0.9942185282707214
膺窗穴的定位是什么?,第3肋间隙，距前正中线4寸。,在胸部，当第4肋间隙，前正中线旁开2寸。,0.9913906455039978
土源性线虫感染的多发地区是哪里？,苏北地区；贵州省剑河县；西南贫困地区；桂东；江西省鄱阳湖区；江西省,农村地区,0.8644462823867798
感染、认知功能障碍的辅助治疗有些什么？,吞咽障碍以及禁食；禁食；胃肠减压；胃肠营养,健康教育,0.9010655283927917
妊娠疾病的辅助治疗有些什么？,孕期营养指导,围术期护理干预；常规护理干预,0.986769437789917
"心肌梗塞能治疗吗？，恶心,干呕,心慌,曾经的治疗情况和效果：没针对性的治疗过化验,仔细检查结果:做心电图发觉时心肌梗塞?需要有住院吗想进行咨询专家,日常饮食生活需注意些什么?","首先建议住院治疗,根据仔细检查结果决定治疗方案,建议做支架植入.希望能引来看重.生活护理：按排恰当膳食,以减低总脂肪,饱和脂肪酸和胆固醇的摄取,体重体重超标者要干扰总热量.经膳食重新调整３个月后,血脂水平仍明显异常者,可针对血脂异常特点,采用血脂调节剂.",你好，根据你的叙述，如果已经诊断为心肌梗死的话，一般情况下是需要有住院治疗的。建议你及时到医院复诊，由医生根据病情来制订恰当的治疗方案，平时留意低盐低脂饮食，防止抽烟喝啤酒，适当活动。以上是对“心肌梗塞能治疗吗？”这个问题的建议，期望对您有帮助，祝您健康！,0.6124763488769531
维胺酯维E乳膏能治理什么疾病?,痤疮；暴发性痤疮；寻常痤疮；婴儿痤疮；聚合性痤疮；沙漠疮；背痈；肺风粉刺；职业性痤疮,皮肤瘙痒；鱼鳞病；神经性皮炎；慢性湿疹；银屑病；扁平苔藓；脂溢性皮炎；荨麻疹；神经性皮炎、银屑病、鱼鳞病、扁平苔藓、脂溢性皮炎等；湿疹；皮肤瘙痒症；神经性皮炎(湿疹)；神经性皮炎；扁平苔藓、脂溢性皮炎；湿疹、银屑病；银屑病、扁平苔藓、脂溢性皮炎；鱼鳞病、扁平苔藓；银屑病,0.9387199878692627
