instruction,reference,generated,cosine_similarity
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hi and welcome to Chat Doctor.  Thanks for your query. I have gone through your query in detail. The possibility of gall stone is more as it can cause such symptoms. It is also associated with pain in upper abdomen and right shoulder pain. You need to get ultrasound done to see if there is any gallstone present. If you are found to have gallstones, then you may need to take treatment for them. Hope this answers your question. If you have additional questions or follow-up questions then please do not hesitate in writing to us. I will be happy to answer your questions. Wishing you good health. Regards. ",0.928101658821106
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hi, Welcome to Chat Doctor .com I am Chat Doctor.  M. S. (General Surgery) & Fellow of Royal College of Surgeons (Edinburgh, Scotland). Your mother is suffering from gall bladder stone and gall bladder inflammation. She should get an ultrasound scan of abdomen done to rule out other problems. If she has gall stones in the bile duct then she will need a laparoscopic cholecystectomy with stone extraction. If she has only gall stones in the gall bladder then she can be treated by medicines and diet control. She must avoid spicy foods, fatty foods and alcohol. Please take care.  Thanking",0.9292884469032288
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hello, I understand your concern and would explain that your symptoms could be related to an upper respiratory tract infection or an allergic reaction.  For this reason, I recommend consulting with your attending physician for a physical exam and some tests: - a blood count- a chest X-ray study- a PCR for viral infections (influenza, RSV)- a sweat patch test for food allergies.  A chest X-ray is needed to rule out lung infections.  Hope I have answered your query. Let me know if I can assist you further. Take care Chat Doctor.  V. Subrahmanyam MD Internal Medicine, Infectious",0.8723859786987305
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hi, Thanks for your query. I read your query and understand your concerns. Following is my opinion:1) You have a small gallstone in the common bile duct which is causing jaundice.2) This stone can be removed by endoscopic procedure called ERCP (Endoscopic Retrograde Cholangiopancreatography). It will be done under local anesthesia and it is an out-patient procedure.3) The other option is to take a course of antibiotics for 7-10 days and then repeat the scan. If the stone has not moved by then, you may need to go for ERCP.4",0.9181393980979919
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
术前放疗；术后放疗",0.9746449589729309
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hi, Welcome to Chat Doctor .com I am Chat Doctor. Michael and I am here to help you. I have read your question carefully and understand your concerns.  I will try to give you the best advice possible.  The most common cause of this is due to an infection in the urinary tract. You need to take antibiotics for this. Please get yourself examined by a urologist as soon as possible.  This can be done at a hospital near you. Hope this answers your question. If you have any further questions or if there is anything else I can help with, then please do not hesitate in asking. Kind",0.7689629793167114
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hi... Thank you for consulting in Chat Doctor. I understand your concern. First be reassured that your child is not having any heart problem. The most common cause of such symptoms in a young child is the anxiety and stress related to studies or family problems. But since she has had this kind of attack before it is better to rule out the cardiac causes first. For that I would suggest you to get her evaluated by a pediatrician. A thorough clinical examination will be needed. If required an ECG and 2D Echo would be needed. Till then give her plenty of fluids and avoid too much physical activity. Hope my answer was",0.8808191418647766
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hi, Thanks for asking question. Based on your query I think you should not be worried about this. Your symptoms like dizziness and headache are common with high blood pressure. You should start antihypertensive Chat Doctor.  If you don't take any medicine then it may cause severe complications in future. So better to consult physician and get yourself examined. Hope this will help you. Wishing you good health. Regards...",0.8623687028884888
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hello and welcome to Chat Doctor.  Thanks for your query. I have gone through your question in detail. Your blood test reports suggest that you have high levels of cholesterol and triglycerides. You need to start a low fat diet immediately and take exercise regularly. If this is not enough, then you may require statin therapy as well. Please consult your doctor for the same.  Also, please get an ECG done to rule out heart diseases. Hope this answers your question. If you have additional questions or follow-up queries, then please do not hesitate in writing to us. I will be happy to answer your queries. W",0.8436694741249084
双重性中风的影像学检查有些什么？,CT检查,"
头颅CT扫描；脑血管造影；磁共振成像(MRI)；经颅多普勒超声；MRI检查；常规MRI扫描；常规MRI；头部CT平扫；TCD检查；头颅CT；头颅CT血管成像；MR弥散加权成像；经颅多普勒超声检测；经颅多普勒；经颅多普勒(TCD)检查；经颅多普勒(TCD)；经颅多普勒超声检测；经颅多普勒检查；TCD；经颅多普勒检测；经颅彩色多",0.8544573783874512
