instruction,reference,generated,cosine_similarity
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hi, Thanks for writing in. I am sorry to hear about your symptoms and problems. It is possible that you have developed an allergic reaction to one of the medications prescribed to you. Please discuss this with your doctor. Since you are having high fever it is important to know if there is any other cause like infection or inflammation which could be causing this. You need to get evaluated by your doctor who will advise blood tests including a CBC and CRP. If required he might also ask you to get chest X-ray done. You need to stop taking the medicine which has caused this allergic reaction. It is important to know what medication has caused",0.7881753444671631
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hi! Welcome to Chat Doctor ! I understand your concern and would like to tell you that it is not necessary that the symptoms will be there in all cases of heart attack. It is possible that you might have had an angina attack which is the early sign of heart disease. So, it is better if you get yourself evaluated with an ECG, lipid profile, and stress test (if required). You should also consult a cardiologist for further evaluation and treatment. Hope this helps you. Thanks and take care!  Chat Doctor.  N. Senior Cardiology Resident.  M.D., Internal Medicine.  University Hospital of Mexico",0.6535496115684509
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hello,",0.3484748899936676
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hi, Thanks for your query. I read your query and understand your concerns. There is no relation between heart problems and diabetes. Diabetes does not cause heart problems. However, it can make heart problems worse if they already exist. You need to get a proper cardiac evaluation done which includes an ECG, 2 stress test and an echo. If all these tests are normal then there is nothing to worry about heart problems. Hope this helps you. Please write back if you have any other queries. Wishing you good health. Chat Doctor.  V. Anand, Psychologist & Clinical Hypnotherapist. M.A., PG",0.6593934297561646
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
神经导航；术中电生理监测；术中唤醒；神经导航系统；术中唤醒麻醉；术中神经导航；术中唤醒技术；术中电生理监测技术；术中清醒定位；术中电生理监测方法；清醒开颅手术；术中神经导航技术；清醒开颅；术中电生理监测手段；术中电生理监测方式；清醒开颅手术治疗；术中清醒定位技术；术中清醒定位技术治疗；术中清醒定位方法；清醒开颅手术治疗法；术中清醒定位方法治疗；清醒开颅手术治疗法治疗；清醒",0.3240121603012085
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hi thanks for using Chat Doctor It seems that you have allergic reaction. Allergy occurs when our body reacts to an allergen (foreign substance) that has entered the body. Commonly known allergens are pollen, dust mites, animal dander, insect bites, medicines and food. In",0.496280312538147
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hello, I have studied your case. Due to compression of nerve root there is pain in your leg. For this analgesic and neurotrophic medication can be started. Till time, avoid lifting weights, Sit with support to back. You can consult physiotherapist for help. Physiotherapy like ultrasound and inferential therapy will give quick relief. I will advise checking your it B12 and it D3 level. Hope this answers your query. If you have additional questions or follow-up queries then please do not hesitate in writing to us. I will be happy to answer your queries. Wishing you good health. Take",0.8207056522369385
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hi thanks for asking question. As you have pain in your back and leg. So possibility of disc problem like herniated disc or spinal stenosis. But before taking any treatment I suggest you to get MRI scan of spine. If it is positive then we need to treat it. Till then take rest, avoid lifting heavy weight and bending forward. Take analgesic and muscle relaxant Chat Doctor. Hope this may help you. Wishing you good health. Regards...  Thanks...  Regards...  Thank you very much for using Chat Doctor. Welcome again to our website with any further query.  Best regards...  Thanks...",0.7922478318214417
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hello, Thanks for your query. After reading your query I came to know that you are suffering from chronic pain due to injury in your back and neck. It is very common after injury and it can be treated by physical therapy. For this purpose you need to consult physical therapist and get yourself examined. He will examine your back and neck carefully and will treat you accordingly. You may need to take muscle relaxant Chat Doctor.  You should also do hot fomentation which will give you quick relief. I do hope that you have found something helpful, and I will be glad to answer any further query. Take care.  Best W",0.6983060836791992
双重性中风的影像学检查有些什么？,CT检查,"
头颅CT；磁共振成像(MRI)技术；头颅MRI；头颅MRI检查；磁共振血管造影(MRA)；磁共振弥散加权成像(DWI)；核磁共振成像(MRI)；头颅MRA；磁共振成像；头颅MRI检查技术；核磁共振成像；MRI检查；MR血管造影(MRA)；核磁共振成像技术；头颅CT及MRI；头颅MRI扫描；核磁共振；常规MRI；MRI技术；磁共振血管造影；常规MRI检查；头颅MRI扫描；",0.5523252487182617
