instruction,reference,generated,bleu
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hi! I am Chat Doctor answering your query. From the history of your son, it seems that he is having a viral infection. This can be confirmed by doing a viral culture and antibody tests. Until the diagnosis is made, you can give him paracetamol to relieve his fever. Also, give him plenty of fluids and rest. Once the diagnosis is made, specific treatment can be given. Hope this information helps you in discussing with your family physician/treating doctor in further management of your problem. Please do not hesitate to ask in case of any further doubts. Thanks for choosing Chat Doctor to clear doubts on your health problems.",2.1796695933576413
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hi thanks for asking question. If your wife is having chronic headache then need to consult neurologist and get done 1. Blood pressure monitoring 2. MRI brain 3. CT scan of head 4. LFT 5. ESR. Most common cause of headache in young woman is stress related headache or migraine. Migraine can be treated by triptans like sumatriptan or rizatriptan. Stress related headache can be managed with relaxation technique, exercise and meditation. Hope this will help you. Take care Chat Doctor.  V. Subrahmanyam MD;DM (Neurology",0.5685338408176008
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hello dear, Thank you for your contact to Chat Doctor. I read and understand your concern. I am Chat Doctor answering your concern. No it is not necessary that you will have fever after taking medicine. Fever is only one of the symptom of infection. It is not the rule that every time there will be fever after taking medicines. But if you feel any kind of pain or discomfort then you should consult your treating physician as soon as possible. It is also good practice to take a second opinion about your problem. Hope this would help you to plan better way out for your health care. Wishing you a good health. Thanks and take",3.411601748229573
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hi, Thank you for asking question on Chat Doctor. I went through your question and can understand your concern. You have chronic bronchitis. It is due to smoking habit. It may be related to chronic cough too. It will not affect your pregnancy. But you need to quit smoking before getting pregnant. Quitting smoking will help you to reduce the severity of symptoms and improve quality of life. Hope this answers your question. If you have any doubts then do not hesitate to write me back. Wishing you good health. Thanks. Regards Chat Doctor.  S. K. Basaas. M. D. Internal Medicine.",1.7116328616164354
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
护理干预；常规护理措施；健康教育路径；健康教育路径表；健康教育；健康宣教路径；心理护理；健康教育路径表；常规护理；健康教育路径护理；心理干预；临床护理路径；综合护理干预；临床护理路径表；优质护理；临床护理；临床路径；临床路径护理；健康教育路径护理；健康教育路径表护理；健康教育路径表干预；健康教育路径表护理模式；常规健康教育；护理路径；临床路径护理模式；临床护理路径护理；临床路径护理模式；健康教育路径护理模式；健康教育路径表护理模式；",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hi there! Welcome to Chat Doctor . I have read your query in detail and understood your concerns. As per your history it seems like you had an injury which has led to swelling of your elbow. You need to get evaluated by an orthopedic surgeon as soon as possible. In my opinion you should not delay getting evaluated and treated. An X-ray of the elbow will be helpful to diagnose the exact cause of your pain and swelling. If needed you may require an MRI or CT scan of the elbow to evaluate for soft tissue injuries. Hope this helps you. Best wishes, Chat Doctor.  Please feel free to ask me any further",1.250180362894339
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hello dear, Welcome to Chat Doctor forum. I have gone through your query and understand your concern. As per my knowledge as an experienced family physician, I would like to inform you that in my opinion you should not worry about this. You need not be concerned with this, it is nothing serious. This is normal situation of pregnancy. The pain will subside by itself after delivery. But if it persists even after delivery then there may be some abnormality. So better to consult gynecologist for clinical examination and get done ultrasound abdomen to rule out any possible cause. Hope this may help you. Wishing you good health. Take care",2.0285492361211843
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hi, Thanks for writing in. Your symptoms of coughing and wheezing suggest bronchitis or asthma. Please consult your doctor and get evaluated. The chest x-ray shows no significant abnormalities. This is good news as it means that there is nothing serious like pneumonia or lung cancer which can cause these symptoms. Since you have had chronic cough and wheezing for many years now, it suggests possibility of asthma. You should take a trial of inhalers containing corticosteroids and bronchodilators. If this helps then you will be diagnosed to have asthma. If not, then other causes need to be looked into. You",2.3850059594708086
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hi, Thanks for asking. Based on your query, my opinion is as follows.1. You have history of severe asthma in childhood, which can be associated with bronchial hyperactivity.2. Since you are not taking any medicine now, it can lead to worsening of symptoms.3. Chat Doctor. 4. I would recommend regular inhalers like Budesonide and Formoterol combination (Advair) or Budesonide alone (Pulmicort).5. Regular exercise and breathing exercises help improve lung function.6. Avoiding exposure to smoke and dust will prevent exacerbations. Hope it helps.",0.6803567966509375
双重性中风的影像学检查有些什么？,CT检查,"
头颅MRI扫描；磁共振成像；脑血管造影；CT检查；核磁共振成像；头部CT平扫；磁共振成像技术；CT检查法；脑电图检查；磁共振血管成像；数字减影脑血管造影；磁共振血管造影；常规MRI检查；头颅CT平扫；核磁共振检查；MRI检查；头颅CT检查；头颅CT及MRI检查；脑血管造影术；经颅多普勒超声；头颅MRI检查；MRI图像；MR检查；头颅CT；MRI诊断；头颅",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Thank you for your contact to Chat Doctor. I understand your concern. If I am your doctor I suggest you that you will lose your nail. But pressure from blood in the close compartment can cause gangrene. I advise you should visit nearby doctor and get your self Chat Doctor.  Usually gangrene won't appears in all cases. I will be happy to answer your further concerned can contact me. Chat Doctor. Infectious disease specialist. Thank you.","
Hi, Thank you for asking question on Chat Doctor. I went through your history and would like to make suggestions for you as follows:1. Since you have had severe pain in your lower back with swelling since 3 months, I advise you to consult orthopedic surgeon for examination of your spine.2. If there is any nerve root compression then MRI scan of spine will be required.3. You should start treatment with muscle relaxant such as diazepam or chlorazepoxide and analgesic such as ibuprofen.4. You should avoid lifting heavy weights and sitting for long time.5. Apply warm water",6.678111955197524
和老公同房后阴道深处有很多小红疙瘩痒疼怎么回，无,考虑是有阴道炎的可能，建议你可以口服氧氟沙星、替硝唑胶囊，外用高猛酸钾或洁尔阴溶液清洗局部，然后再用甲硝唑泡滕片塞阴治疗即可，用药其间注意个人卫生，禁止同房，并定期复查。,"
你好，根据你的叙述 ，考虑是炎症引起的，一般和局部病原菌感染有关系的，可以口服阿莫灵，甲硝唑治疗试试，注意休息，不要刺激性食物，慢慢会改善的，祝你健康，妇科疾病的出现不仅仅会影响患者的生活，还会导致妇科疾病的出现，因此，最好去医院的妇科做一下B超检查，找出病因后对症治疗，平时应该注意多喝水，注意个人卫生。忌辛辣食物。祝早日康复。",0.0
