instruction,reference,generated,bleu
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hi and welcome to Chat Doctor.  Thank you for providing us with your query. From your symptoms, it seems like you may have an infection in your leg which is causing pain and redness. I would recommend you to visit your local hospital and get evaluated by a doctor. You might need antibiotics and anti-inflammatory drugs. If there is any wound, you should clean it and apply ointment as advised by the doctor. I hope this information was helpful to you. Kind regards,  Chat Doctor.  S. M. Farooq, MD, PhD.",2.4362446056835143
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hi, Thanks for asking. Based on your query, my opinion is as follows.1. It seems like you have had an injury to your shoulder.2. You might have developed a partial tear of rotator cuff muscles, which has caused this pain.3. Treatment depends on severity of pain and muscle weakness.4. If pain is severe, rest with ice packs over shoulder.5. Take anti-inflammatory Chat Doctor. 6. Gradual exercises can be started once pain starts subsiding.7. If pain is not relieved or if there is weakness in shoulder muscles, then need for MRI scan will be decided by your physician",3.7679879975685853
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hi, Thanks for writing in. The pain is likely to be due to the infection in your tooth and gums. Since the tooth has been treated with root canal treatment, it is possible that the infection may have spread to the surrounding tissues including the gum tissue around the tooth. It will be good if you get an X-ray done of the tooth to know the status of the root canals and surrounding tissues. If there is any inflammation then it might need antibiotics like amoxicillin or metronidazole. Please consult your dentist and discuss this. You might also require scaling and root planning if the gum infection is severe. The tooth needs",4.334951349734613
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hi, Thank you for asking question on Chat Doctor. I went through your history and would like to make suggestions for you as follows:1. Your symptoms seem to be related to upper respiratory tract infection (URTI). URTI is viral 90% of times.2. I would suggest you to follow these steps:- Take plenty of fluids.- Avoid oily and spicy food.- Do steam inhalation 3-4 times daily.- Take tablet paracetamol 500 mg every six hours if fever is there.- Apply topical antibiotic ointment like mupiroic acid twice daily on affected areas.3.",1.1612553405954085
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
术后护理干预；围手术期护理干预；常规护理方法；常规护理；心理护理；围手术期综合护理干预；综合护理干预；护理干预；围术期护理干预；围术期护理；优质护理干预；整体护理干预；优质护理；系统性护理干预；整体护理；综合护理；健康教育；围术期综合护理；常规护理干预；心理护理干预；整体护理模式；护理措施；整体护理方式；围手术期护理；整体护理干预措施；常规护理模式；护理路径；围手术期综合护理；围手术期护理干预；综合护理模式；",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hi, Thanks for writing in. The symptoms of dizziness and fainting could be due to several causes. Since your mother is having a history of heart attack, it is important to know if she has any angina pectoris or chest pain which occurs while walking or after eating a heavy meal. If this is not there then the cause could be due to anemia or low blood pressure. It would help if you could tell us what was the result of her recent blood test including hemoglobin level. A blood sugar level also needs to be done to rule out diabetes. Please consult her doctor again and get all these tests done.",1.0652055747945541
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hi, Welcome to Chat Doctor forum.  Thanks for choosing Chat Doctor. Forum.  You have been diagnosed with bronchitis and pneumonia, both are viral infections.  They may respond to antibiotics but they will not be effective against viruses.  I would advise you to consult your physician for prescription of antibiotic, antihistamines, and cough syrup.  Take plenty of fluids and rest.  Avoid smoking and passive smoking.  If you have any further query I will be happy to answer it. Wishing you good health. Good day! God bless you.  Regards.  S. M. D.  MD.",1.7041517773373989
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hi, Thanks for writing in. It is possible that your son has been infected by some virus which might be causing fever. Since he had coughing and cold before this episode of fever, it could be viral infection. In such cases, it is best to give him plenty of fluids and take rest. Fever can be controlled with paracetamol or ibuprofen as per age. Do not worry if his temperature comes down and then rises again after 48 hours. This is normal and does not indicate any serious illness. If the fever persists more than 5 days then you should consult a pediatrician. The cause of fever",1.105419824208491
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hi, Thanks for writing in. Your son is 2 years old and has been diagnosed to have an ear infection. The doctors have advised him to take antibiotics and other medicines which will help to reduce pain. The medicine you are taking for your child will help to control the pain and also the fever if he develops. The ear infection will be cured by the antibiotic and he will not need to take it for long. You can give him paracetamol or ibuprofen if his temperature is high. It is important to keep him well hydrated and give him plenty of fluids. He should get better within a week. Please do not",0.686699874583407
双重性中风的影像学检查有些什么？,CT检查,"
MRI扫描；磁共振成像；磁共振血管成像",0.0
