instruction,reference,generated,meteor
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hello dear, I understand your concern. In my opinion there is no need to worry about your symptoms. The symptoms like burning and itching in the genital area could be due to fungal infection. It can be treated with antifungal cream. Please consult a dermatologist for proper examination. The treatment of fungal infection is antifungal cream. Avoid sexual contact till the infection heals up. Hope this helps you. Best regards... Chat Doctor.  Chat Doctor.  Infectious Disease Specialist.  Thank you.  Regards.  Chat Doctor.  Infectious Disease Specialist.  Thank you.  Regards.  Chat Doctor.  Infect",0.14339152119700746
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hello! Welcome to Chat Doctor ! I understand your concern and would like to explain few things to you.  You have had an injury of your back which has led to development of muscle spasm and pain. The fact that the pain is not localized to one area but rather spread over all sides indicates that there is a muscular spasm. I would suggest you take rest and avoid any activity which aggravates the pain. I would also advise you to get an MRI scan done for the lumbar spine so that we can evaluate if there is any disc herniation or other abnormalities. In my clinical practice of over 12 years, most",0.21105359380456437
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hello! Welcome on Chat Doctor ! Regarding your concern, I would explain that your symptoms could be related to an allergic reaction or a respiratory infection. For this reason, I recommend consulting with your GP for a physical exam and some tests: - a chest X-ray study- a blood test for inflammation markers (ESR, CRP)- a complete blood count-thyroid hormone levels for possible thyroid gland dysfunction. An allergy test could be needed in case of persistence of these symptoms. Meanwhile, I recommend taking anti-inflammatory and antihistaminic medications. Hope to have been helpful! Kind regards,  Chat Doctor.  Gastroenter",0.18503709938895124
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hello! Welcome on Chat Doctor ! Regarding your concern, I would explain that your symptoms could be related to a possible cardiac arrhythmia. For this reason, I recommend consulting with your attending physician for a careful physical exam and some tests: - a resting ECG and cardiac ultrasound- a chest X-ray study-complete blood count for anemia-thyroid hormone levels for thyroid gland dysfunction- blood electrolytes for possible imbalance. A 2achecardiogram could also help in your case. Hope you will find this answer helpful! Kind regards,  Chat Doctor.  N. B. Please do not hesitate to ask further questions if",0.14148235327888856
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
术后化疗；术前放疗；术后放疗；放射性粒子植入；立体定向放射外科治疗；伽玛刀；术前化疗；手术治疗；术后辅助治疗；术中放射治疗；术中放疗；放射性粒子植入治疗；术后辅助化疗；放射外科治疗；术前放化疗；术中放射外科治疗；术前放疗联合术后放疗；放射外科；放射外科手术；术中放疗治疗；术后放疗治疗；术中放射外科；术中放射治疗技术；术中放射外科治疗；术中放射外科手术；放射外科手术治疗；",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hello, I have gone through your query and understand your concern. As per your history, there is possibility of a fracture or injury to the ribs which needs to be evaluated with an X-ray chest. Also, it is possible that you might have developed pleurisy (inflammation of the pleura) which can cause sharp pain in the chest especially during deep breathing. This also needs to be evaluated by an X-ray chest. You should consult your doctor for clinical evaluation. He may order for X-ray chest to rule out any fractures or other pathology. Till then, avoid lifting heavy objects and sudden movements. Hope this helps. Please",0.15848494502121618
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hi, Thanks for asking. Based on your query, my opinion is as follows:1. Yes, it is possible that your child might have developed an infection due to this injury.2. Treatment would be antibiotics and painkillers.3. If there is any swelling or redness, he may need antibiotic ointment.4. Avoiding water contact and keeping it clean should help. Hope it helps. Any further queries, happy to help again. Regards Chat Doctor.  S. K. Senior Surgical Specialist.  Orthopedics.  DNB, MCh, MD, DM (Ortho).  FIC",0.10018214936247723
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hello, Welcome to Chat Doctor .com I am Chat Doctor. Mariano Into Bruno Mascaras. I have gone through your query with diligence and would like you to know that I am here to help you.  Based on the information provided to me, I would like you to know that you need not worry as it is normal to experience pain in the leg after surgery. It is also normal to experience some swelling in the leg after the operation. As long as you are able to walk and there is no redness or warmth in the leg, you should be fine. If you have any concerns regarding the same, please do consult",0.23889784296967892
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hi! Welcome on Chat Doctor! I have gone through your query and here is my advice:1) As per your history of back pain with chest pain, it seems to be muscular strain or muscle spasm in your lower back region.2) You can take analgesics like ibuprofen for relief from pain.3) Avoid lifting heavy weights and also avoid movements which cause pain.4) If there is no relief after 7-10 days then get yourself examined by an orthopedic surgeon so that he may examine and treat you accordingly. Hope this answers your question. If you have additional questions or follow-up questions",0.20843141870684245
双重性中风的影像学检查有些什么？,CT检查,"
CT血管成像；头颅MRI检查；头颅MR检查；CTA；头颅MRI；CT血管造影；MRI检查；头颅CT平扫；MRA；头颅CT；脑血管造影；磁共振血管成像；常规CT平扫；CT平扫；CT检查；头颅CT血管造影；头颅CTA；CT灌注成像；头颅MRI及CT检查；头颅CTA检查；头颅CT血管成像；头颅CTA扫描；头颅CTA检测；头颅CTA诊断；头颅CTA检查法",0.0
