instruction,reference,generated,meteor
肛门病变可能是什么疾病的症状?,食管克罗恩病,直肠癌；痔病；肛瘘；肛裂,0.0
白带增多发黄怎么个情况？，最近几天，感觉自己的内裤一天下来会有比较多偏黄的粘液痕迹。刚开始以为是尿液比较黄，经过仔细观察发觉是泛黄的白带。医生，您好白带增多泛黄怎么回事？,白带增多泛黄应该是患阴道炎了，而且是细菌性阴道炎的可能性大，你可以用妇科洗剂擦洗外阴阴道，同时口服些妇科千金片或者花红颗粒，具体用药谨遵医嘱，如果效果不佳。较好到医院去做白带常规仔细检查，查明病因后必要时再出针对性的用药治疗。平常以清淡饮食为基础，尽量多喝水。白带增多患者可以在理解专业治疗的同时，在生活中用食疗做为辅助治疗，在日常生活饮食中需要有恰当饮食，防止刺激性食物。,根据你的叙述，考虑是阴道炎的可能性大，建议到医院做分泌物仔细检查明确病因后对症治疗，平时注意卫生，勤换内裤，防止吃辛辣刺激性食物。除了及时治疗白带增多外，患者朋友理应始终保持积极的心态去直面疾病，只有这样才能降低患者的免疫力以及抗衡疾病的信念，同时要多看重自身饮食护理，观注营养均衡，及时消化身体营养，认为这样一定能将白带增多撵走。,0.0
天雄的药用植物栽培是什么?,1.气候土壤：天雄喜温暖、湿润和向阳环境，宜选土层深厚肥沃、土质疏松、排水良好的土壤栽种。2.种植：根块繁殖，选大的子根或野生乌头作种。在冬至前6-10天栽种，行距1尺，株距5寸，种前施足底肥，开2寸深沟，使芽向上栽入沟内，覆土1-2寸，每亩用种根240-300斤，地冻前浇水，并盖土粪一层越冬。等二年苗高1尺左右，摘除顶。一般留6-8片叶，并随时去腋芽。3.田间管理：生长时间，有根腐病和霜霉病害，应加强管理，注意排水通风。霜霉病发病初期可喷射波尔多液或代森铵防治。4.采集加工：于6月底7月初时挖取根部，洗净泥土，晒干。炮制方法1.《雷公炮炙论》：宜炮皴坼后去皮尖底用，不然阴制用并得。2.《药性论》：干姜制用之。3.《日华子本草》：凡丸、散炮去皮脐用，饮药即和皮生使甚佳。4.《纲目》：熟用。一法，每十两，以酒浸七日，掘土坑，用炭半枰煅赤，去火，以醋二升沃之，候干，趁热入天雄在内，小盆合一夜，取出，去脐用之。,"天雄是薯蓣科薯蓣属的植物，是中国的特有植物。分布于中国大陆的陕西、甘肃、河南、四川等地，生长于海拔2,000米至3,000米的地区，多生在山地林下或灌丛中，目前尚未由人工引种栽培。根茎可作药用，含淀粉质，可作粮食；叶和嫩茎可食；块茎可作蔬菜食用；花可作观赏。",0.0
药流后有巧克力白带是没流干净吗，意外怀孕怎么办伤害比较小请问药流后有巧克力白带是没流干净吗,你的这种情况可能是细菌性或霉菌性阴道炎，可以用苦参或土槿皮煎水熏洗治疗，有一定效果，苦参或土槿皮有抗炎及抗真菌作用，后者不能内服。，其实一般情况下，进行任何一种流产方式都会对患者有一定的影响。所以患者应该注意自身护理。流产患者注意自身护理，例如当的进行饮食调理，注意保暖避免着凉。,你好，根据你描述的情况看来如果药物流产以后有褐色的分泌物，证明宫腔内还是有残存的，可以做B超仔细检查，明确确诊。如果有残留的话，需要有清宫解决，建议你最好到医院做彩超仔细检查，明确确诊后再对症治疗，祝你健康，对于我的回复如果欣慰，麻烦给个好评哦，谢谢。除了及时救治妇科病外，患者朋友理应始终保持愉快的心态去直面疾病，只有这样才能降低患者的免疫力以及抗衡疾病的信念，同时要多看重自身饮食护理，多观注自身的症状变动，,0.0
膺窗穴的定位是什么?,第3肋间隙，距前正中线4寸。,在胸骨中线上，平第四肋间隙。,0.0
土源性线虫感染的多发地区是哪里？,苏北地区；贵州省剑河县；西南贫困地区；桂东；江西省鄱阳湖区；江西省,农村和边远山区,0.0
感染、认知功能障碍的辅助治疗有些什么？,吞咽障碍以及禁食；禁食；胃肠减压；胃肠营养,脑部按摩,0.0
妊娠疾病的辅助治疗有些什么？,孕期营养指导,护理干预；围术期护理干预,0.0
"心肌梗塞能治疗吗？，恶心,干呕,心慌,曾经的治疗情况和效果：没针对性的治疗过化验,仔细检查结果:做心电图发觉时心肌梗塞?需要有住院吗想进行咨询专家,日常饮食生活需注意些什么?","首先建议住院治疗,根据仔细检查结果决定治疗方案,建议做支架植入.希望能引来看重.生活护理：按排恰当膳食,以减低总脂肪,饱和脂肪酸和胆固醇的摄取,体重体重超标者要干扰总热量.经膳食重新调整３个月后,血脂水平仍明显异常者,可针对血脂异常特点,采用血脂调节剂.",心肌梗死是由于冠状动脉供血不足引来的心肌缺血性坏死。临床诊断上一般表现为胸骨后压榨感、紧缩感、烧灼感、疼痛感、伴发出汗、恶心、呕吐等症状。建议你到正规医院做个心电图仔细检查，如果确认是心肌梗死的话，需要有及时给与溶栓救治。平时留意歇息，防止操劳，始终保持心情舒畅。祝患者身体早日恢复健康！,0.0
维胺酯维E乳膏能治理什么疾病?,痤疮；暴发性痤疮；寻常痤疮；婴儿痤疮；聚合性痤疮；沙漠疮；背痈；肺风粉刺；职业性痤疮,皮肤瘙痒；鱼鳞病；神经性皮炎；银屑病；湿疹；慢性湿疹；扁平苔藓；慢性单纯性苔藓；荨麻疹；慢性荨麻疹；接触性皮炎；特应性皮炎；手足皲裂；手足癣；掌跖角化症；脂溢性皮炎；斑秃；白疕；牛皮癣；头癣；头面部皮炎；头皮糠秕孢子菌毛囊炎；银屑病关节炎；红皮病；汗疱型手足癣； POLITIS综合征；掌跖,0.0
口腔黑色素瘤能治愈吗,在口腔黑色素瘤的治疗中，主要的焦点可以通过冷冻疗法或手术来治疗。切除范围应大于常见恶性肿瘤，并应选择性或治疗性颈淋巴结切除，以防止肿瘤的扩散和转移。口腔恶性黑色素瘤的外科治疗可以去除原发性病变，但对于一些小病变、转移性病变，手术不能完全清除。如果不及时有效地清除这些病变，将导致口腔黑色素瘤复发，甚至继续转移。为了提高治疗效果，减少口腔黑色素瘤的转移，可采用相应的药物治疗，及时抑制癌细胞和不能切除的小病灶，及时提高口腔黑色素瘤的整体治疗效果。口腔黑色素瘤的治疗药物包括中药、化疗等。口腔黑色素瘤的病因不同于皮肤黑色素瘤。皮肤黑色素瘤的主要原因是色素痣的恶性转化。口腔黑色素瘤的病因是粘膜黑色素瘤的恶性改变。通常，口腔黑色素瘤晚期转移的症状主要包括食管转移引起的吞咽困难、声音嘶哑和异物感；肺转移时出现咳嗽、痰血、哮喘、胸痛、胸腔积液等症状；右上腹淋巴结肿大。黄疸，腹水，恶心呕吐时转移到肝脏。此外，晚期口腔黑色素瘤也可能转移到大脑，导致头痛、头晕、恶心、呕吐、脑积水等症状。口腔黑色素瘤患者骨转移可引起骨痛、骨折和高钙血症。经常、定量地吃，少吃多吃。有计划地获得足够的卡路里和营养。少食多餐更适合消化道癌患者。第二步。多吃富含维生素A和C的饮食，多吃绿色蔬菜和水果。三。不要吃咸的或烟熏的食物，尤其是那些被烤焦的食物。第四章。避免吸烟和饮酒：酒精、尼古丁、焦油等与某些癌症的发病率有关。,黑色素瘤是一种恶性程度较高的肿瘤，一旦发生转移，治疗难度很大。对于早期发现的黑色素瘤，如果能够及时进行手术切除，术后配合放疗和化疗，还是有可能治愈的。但是如果是晚期黑色素瘤，即使经过积极治疗，也很难达到完全治愈的效果。因此，对于黑色素瘤来说，早发现、早诊断、早治疗是非常重要的。黑色素瘤是来源于皮肤和其他色素沉着组织中产生黑色素细胞的一种恶性肿瘤。黑色素瘤可发生在身体任何部位，但最常见于皮肤，尤其是足部、腿部、背部、面部、颈部,0.0
中面部骨发育不良畸形的手术治疗有些什么？,牵引成骨技术,正颌外科手术,0.0
卵巢早衰应该咋治恢复快，最近经常出现经量减少，经期缩短，月经周期增长，经检查是卵巢早衰，请问卵巢早衰能彻底恢复吗,卵巢早衰能彻底恢复。卵巢早衰能彻底恢复的，患者饮食方面要留意营养平衡，除了蛋白质足量摄取外，脂肪及糖类应足量，同时特别注意维生素E、D及矿物质如铁钙的消化，其中适当消化维生素E可以彻底清除自由基，稳定皮肤弹性，延后性腺膨胀的进程，起些抗衰老的作用，并可调整免疫功能，每日150—300毫克即可。要适当增强活动，活动有助于增进新陈代谢及血液循环，减缓器官衰老。活动应当量力而行持之以恒，循序渐进，如跑步、散步、广播操、太极拳均是较适宜的活动。,卵巢早衰的治疗主要根据病人的年龄、病史、临床表现和治疗目的而定。对于年轻的患者，其主要目的是使卵巢功能恢复正常，获得正常的月经周期及生育能力。而对于年长的患者，其主要目的是缓解症状、延缓衰老过程、预防远期并发症的发生。目前治疗卵巢早衰的方法有激素替代疗法、中药调理、营养支持等。建议您到正规医院做详细仔细检查，明确病因后对症治疗。,0.0
维生素B族缺乏可能是什么疾病的症状?,维生素B2缺乏病,神经炎；糖尿病；多发性神经病；脑动脉硬化症；妊娠期维生素缺乏综合征；帕金森病,0.0
非龋齿牙痛的推荐药有些什么？,清咽滴丸；螺旋霉素；甲硝唑,盐酸阿米替林片；维生素B1片,0.0
妄想症是一种严重的精神表现,"妄想症又称妄想性障碍，是一种精神病学诊断，指“抱有一个或多个非怪诞性的妄想，同时不存在任何其他精神病症状”。妄想症患者没有精神分裂症病史，也没有明显的幻视产生。但视具体种类的不同，可能出现触觉性和嗅觉性幻觉。尽管有这些幻觉，妄想性失调者通常官能健全，且不会由此引发奇异怪诞的行为。按妄想目标指向进行的分类1.关系妄想患者把实际与他无关的事情，认为与他本人有关系。2.被害妄想患者坚信周围人的或某些团伙对他进行跟踪监视、打击、陷害，甚至在其食物和饮水中放毒等。受妄的支配可有拘食、控告、逃跑、伤人、自伤等行为。多见于精神分裂症和偏执性精神病。3.特殊意义妄想患者认为周围人的言行、日常的举动，不仅与他有关，而且有一种特殊的含义。4.物理影响妄想患者认为自己的思维、情感、意志行为活动受到外界某种力量的支配、控制、操纵，患者不能自主，称其影响妄想。如果患者认为这种操纵其精神活动的外力是由某种先进仪器所发出的激光、X射线、红外线、紫外线等（均属于物理因素），就称为物理影响妄想。多见于精神分裂症。5.夸大妄想患者夸大自己的财富、地位、能力、权利等。可见于情感性精神障碍躁狂发作、精神分裂症和脑器质性精神障碍，例如麻痹性痴呆。6.自罪妄想又称罪恶妄想。患者毫无根据地认为自己犯了严重错误和罪行，甚至自己是罪大恶极、死有余辜，应该受到惩罚，以至于拒食或者要求劳动改造以此赎罪。主要见于情感性精神障碍抑郁发作，也可见于精神分裂症等其他精神疾病。7.疑病妄想患者毫无根据地坚信自己患了某种严重躯体疾病或不治之症，因而到处求医，即使通过一系列详细检查而多次反复的医学检查验证都不能纠正其歪曲的信念，称疑病妄想。严重的疑病妄想，患者认为""""内脏已经腐烂了""""""""本人已经不存在，只剩下一个躯体空壳了""""，又称虚无幻想。多见于精神分裂症，也可见于更年期和老年期精神障碍。",妄想症是一种严重的精神病。患者对客观现实缺乏正确认识，常产生一些离奇的幻想，即妄想。其内容与周围环境无关，不随客观情况的变化而改变，因而与事实不符，但患者坚信不移。患者可表现为被害妄想、嫉妒妄想、夸大妄想、疑病妄想等。这种疾病严重影响了患者的正常生活。因此，我们有必要了解妄想症的一些相关知识。以下是关于妄想症的一些介绍：一、妄想症的症状：1、被害妄想：这是最常见的一种妄想。患者常怀疑有人,0.0
结核性渗出性心包炎的辅助治疗有些什么？,全身规则抗结核治疗；规律全身抗结核治疗,胸腔闭式引流；抗结核药物；营养支持；抗结核治疗,0.0
新生儿重度贫血的推荐药有些什么？,悬浮红细胞,红细胞生成素；红细胞生成素联合输血治疗,0.0
甲亢怎么治疗才能根治，我是一个很严重的甲亢的患者，已经被发现了有甲状腺功能亢进，现在十分明显，自己的眼睛已经稍微吐出来了，而且诶脖子也是比较肿大怎么才能根治,你好，用放射性碘破坏甲状腺组织而达到治疗甲亢目的，有“内科甲状腺手术”之称。利用甲状腺有浓集碘的能力和131碘能放出β射线生物学效应，使甲状腺滤泡上皮细胞破坏、萎缩，分泌减少，达到治疗目的,甲亢的治疗方法有两种：一种是药物疗法，另一种是手术疗法。药物疗法适用于中、轻度甲亢，或作为手术前后的辅助治疗。手术疗法一般适用于中、重度甲亢，或药物治疗无效者。药物疗法可选用丙基硫氧嘧啶、他巴唑等，手术疗法可施行甲状腺次全切除术。此外，还有放射性碘131治疗法。目前多采用药物治疗和手术治疗。对于一些中、轻度的病人，可以采用抗甲状腺药物治疗，如丙硫氧嘧啶、他巴唑等，对一些中,0.0
一抽烟就恶心干呕是因为什么，一直觉得我自己的身体不是特别的舒服，最近就是时常头疼，症状很久了，不知道这种情况是咋回事，出现这种情况很频繁的。自己也挺烦恼的，请问一抽烟就恶心干呕是因为什么,你的这种情况可能是慢性咽炎，多伴用咽后壁滤泡增生，可以用苦酒汤含服，或者用青果，凤凰衣等常用药物进行煎服，有一定效果。，考虑是肌肉软组织疼痛，建议口服风疼片，或者舒筋丸治疗都可以的，另外如果看中医方便也可地中医，进行中药治疗效果很好，积极对症治疗，慢慢会改善的，祝你健康,考虑是胃炎引起的，建议服用吗丁啉，奥美拉唑，阿莫西林，克拉霉素，硫糖铝治疗，效果不好到医院做胃镜检查。，我们都知道内科疾病对患者的危害比较的，一旦发现后就该及时救治，同时患者日常中还需要重视自身的调养，并且合理饮食，病情好转后适当的运动，希望内科疾病患者可以及时得到救治！,0.0
内科护理学的辅助检查有些什么？,客观结构化临床考试,临床护理路径表；健康教育干预,0.0
白消安注射液的用法用量,注意：同种药品可由于不同的包装规格有不同的用法或用量。本文只供参考。如果不确定，请参看药品随带的说明书或向医生询问。口服：每日量成人2-8mg，儿童每千克体重0.05mg。直到白细胞下降到1万～2万后停药或改为维持量（0.5～ 2mg，每日1次或每周2次）。 用间歇大剂量治疗慢性粒细胞白血病，疗效与上法基本相同，但可缩短诱导缓解的时间，且可能减少招致再生障碍性贫血的机会。 用法为：根据病人白细胞及血小板计数，分别选用1次给药80-100mg、50mg、20-30mg的三种不同剂量（若1次服100mg，一般分2次服用，在1～2日内服完）。2次服药的间歇时间为1～2周（根据血象而定），1次若服药80～100mg，需间隔2周以上。,注意：同种药品可由于不同的包装规格有不同的用法或用量。本文只供参考。如果不确定，请参看药品随带的说明书或向医生询问。1.成人常用量：一次20～45mg，临用前用适量生理盐水溶解后缓慢静注，隔日1次，5～7天为一疗程。2.儿童常用量：按体重一次每公斤体重0.3～0.6mg，临用前用适量生理盐水溶解后缓慢静注，隔日1次，5～7天为一疗程。,0.0
剖宫产后静脉镇痛的推荐药有些什么？,舒芬太尼；盐酸丁丙诺啡,帕瑞昔布钠；舒芬太尼；帕瑞昔布,0.0
忽然发现上火了  小便时有烧灼感  会痛，三天前   忽然发现上火了  小便时有烧灼感  会痛   平时还会流出来一些黄白色的液体  一开始是白色的   昨天发现变成黄色液体了  ,你好，这种情况应该是尿路感染引起的，可以到医院化验检查确诊一下，应用三金片、氧氟沙星治疗，平时注意多喝水，避免刺激性食物。,你描述的考虑是前列腺炎，建议吃抗生素治疗，如左氧氟沙星胶囊，清热利湿中药，饮食以清淡为主，禁辛辣刺激性食物和油腻煎炸食物。忌烟酒。多喝水，多吃新鲜蔬菜水果，保持大便通畅。注意休息，避免过度劳累。,0.0
