instruction,reference,generated,meteor
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hi... Thank you for consulting in Chat Doctor. It seems your child is having viral diarrhea. Once it starts it will take 5 - 7 days to completely get better. Unless the kids having low urine output or very dull or excessively sleepy or blood in motion or green bilious vomiting...you need not worry. There is no need to use antibiotics unless there is blood in the motion. Antibiotics might worsen if unnecessarily used causing antibiotic associated diarrhea. I suggest you use zinc supplements (Znomel 10 mg) for 10-14 days along with oral rehydration solution (ORS) every 2",0.11742892459826947
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hi and welcome to Chat Doctor. Thank you for your query. I have gone through your query and understand your concerns. Yes, it is possible that this could be due to infection or irritation. But since it has been 5 days now and there is no relief, you should visit an ENT specialist and get yourself examined. He will examine your throat and ear, take swabs from them and send them for culture and sensitivity test. This will help him find out what exactly is causing this problem and treat accordingly. You may need antibiotics if there is any infection. Do not worry, you will be fine once treated. Hope this helps.",0.14532567261656956
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hello and welcome to Chat Doctor.  Thanks for your query. I understand your concerns and would explain as follows: 1. This is not an emergency situation. You can wait for the fever to come down on its own. 2. Take plenty of fluids, rest and take paracetamol for pain relief. 3. If the fever doesn't come down or if it goes up again, then you need to see your doctor for further evaluation. Hope this helps. Regards.",0.17378058506396146
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hello! Welcome to Chat Doctor ! I have gone through your query and can understand your concern about this issue. If you have been diagnosed with bronchitis, then it is important to take treatment for this condition. Bronchitis is usually treated with antibiotics, antihistamines and corticosteroids. You may also need to take inhaled bronchodilators if you have asthma along with bronchitis. It is also important to avoid smoking and exposure to smoke or dust. In addition, you should also follow a healthy diet and exercise regularly to keep yourself fit. Hope this helps! Regards. ",0.16821492572535468
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
心理护理；常规护理",0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hello, Welcome to Chat Doctor. I have gone through your query and understand your concern. I suspect this is due to fungal infection. You need to take oral antifungal medicine for at least 3 weeks. Also, apply antifungal cream over area at night time. Maintain hygiene by washing it with soap and water daily. Take care. Hope you find this information useful. Wishing you good health. Regards, Chat Doctor. ",0.07726269315673288
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hi... Thanks for your query. I read your query and I understand your concerns. In my opinion you should not be worried about this as it is very common to have a small amount of blood in the urine after a urinary tract infection or stone or even a bladder tumor. However, if there is a large amount of blood in the urine, then we need to do a few tests to rule out any serious cause like stones, tumors etc. These tests include :1. Urine routine and culture2. Ultrasound scanning of abdomen and pelvis3. CT scan of abdomen and pelvis4. Cystoscopy (scope examination",0.13826940231935772
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hi, Thanks for your query. After reading your query I came to know that you have got your knee replacement surgery 3 weeks back and now there is swelling of leg. It is normal after surgery as there will be collection of blood in the tissues around the joint due to trauma to muscles during surgery. The swelling will subside within few days. You can take anti-inflammatory Chat Doctor.  Do not walk or stand more than 15 minutes at one time. Use walking stick with help of it you can walk. Do not sit cross leg. Sit straight. Hope this will help you. Take care.",0.16786570743405277
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hi, I have gone through your question and understand your concern. You need to get an MRI of brain to see for any structural damage. If there is no structural damage then it can be due to a minor stroke or a seizure disorder. You may require a CT scan of brain to rule out any minor stroke. Also, you should start with anticonvulsant medication like carbamazepine which will prevent further attacks. Hope this helps. Please write back for further queries. Wishing you good health. Chat Doctor. ",0.17577442741802604
双重性中风的影像学检查有些什么？,CT检查,"
CT扫描；MRI检查",0.0
