Step,Training Loss,rewards / chosen,rewards / rejected,rewards / accuracies,rewards / margins,logps / rejected,logps / chosen,logits / rejected,logits / chosen
1,0.6931,0,0,0,0,-281.359222,-526.69397,0.078396,-0.333458
2,0.6931,0,0,0,0,-271.386261,-434.652649,0.142988,-0.282377
3,0.6746,0.022673,-0.015524,0.625,0.038197,-307.137756,-408.33667,0.228637,-0.671605
4,0.6867,0.048451,0.03406,0.5,0.014391,-290.411377,-512.424316,0.124106,-0.499633
5,0.6881,-0.037054,-0.048375,0.625,0.011321,-283.085876,-591.127014,0.116536,-0.309255
6,0.7001,-0.096805,-0.085629,0.625,-0.011176,-311.931274,-806.927246,0.13609,-0.314901
7,0.683,-0.013192,-0.034296,0.75,0.021104,-301.841553,-429.075409,0.104856,-0.416465
8,0.6847,0.056569,0.036259,0.5,0.020309,-278.223999,-585.108643,0.019616,-0.422998
9,0.6895,0.042538,0.033917,0.5,0.008621,-295.469177,-585.683167,0.179905,-0.565452
10,0.6912,-0.012802,-0.017553,0.5,0.004751,-298.705933,-586.053467,0.180413,-0.30374
11,0.7069,-0.064518,-0.038207,0.375,-0.02631,-264.271973,-315.884918,0.165597,-0.557412
12,0.6763,0.135484,0.100775,0.875,0.034709,-268.953064,-385.744873,0.105984,-0.405252
13,0.6898,0.100204,0.092126,0.625,0.008078,-301.625305,-425.632629,0.179965,-0.802143
14,0.7102,-0.012755,0.018732,0.5,-0.031487,-335.519867,-484.258606,0.290441,-0.385156
15,0.704,-0.056569,-0.037822,0.5,-0.018748,-275.3703,-335.483337,0.076062,-0.337822
16,0.6879,-0.004791,-0.015873,0.5,0.011082,-274.634186,-544.846497,0.107218,-0.443617
17,0.6838,0.131701,0.112255,0.75,0.019446,-303.596313,-688.813843,0.385891,-0.317219
18,0.7003,-0.017347,-0.004411,0.375,-0.012936,-289.351715,-324.516541,0.269483,-0.357884
19,0.6842,-0.003834,-0.021953,0.625,0.01812,-296.156464,-348.874481,0.241116,-0.52401
20,0.7163,-0.120657,-0.075835,0.25,-0.044821,-290.828644,-774.382507,0.17383,-0.1486
21,0.678,0.001312,-0.032343,0.625,0.033656,-299.272705,-784.36853,0.305305,-0.275804
22,0.7011,-0.087188,-0.072064,0.375,-0.015123,-266.374725,-579.936218,0.206697,-0.309315
23,0.6976,-0.115445,-0.107531,0.375,-0.007913,-312.409973,-461.966003,0.213623,-0.128039
24,0.6996,-0.173682,-0.161978,0.5,-0.011704,-267.773773,-357.468964,0.230032,-0.367859
25,0.6742,-0.006209,-0.045714,0.625,0.039505,-293.043762,-526.759216,0.05377,-0.495958
26,0.6905,-0.055105,-0.062092,0.75,0.006987,-311.371735,-373.554443,0.058003,-0.289849
27,0.712,0.12982,0.16605,0.25,-0.03623,-257.184265,-597.288269,0.186977,-0.504721
28,0.6549,0.051904,-0.027268,0.875,0.079172,-277.388733,-525.472961,0.191815,-0.222282
29,0.7015,0.008777,0.024733,0.375,-0.015956,-292.12262,-546.443176,0.278942,-0.451619
30,0.6568,0.053937,-0.021373,0.875,0.07531,-280.424103,-435.1604,0.237965,-0.703272
31,0.6767,0.033713,-0.000465,0.75,0.034178,-285.784607,-471.009125,0.162682,-0.474374
32,0.6827,0.07647,0.05468,0.625,0.02179,-290.052307,-351.865723,0.287495,-0.312905
