Step,Training Loss,rewards / chosen,rewards / rejected,rewards / accuracies,rewards / margins,logps / rejected,logps / chosen,logits / rejected,logits / chosen
1,1.7791,-0.16365,-0.145613,0.375,-0.018037,-1.456134,-1.636504,9.916472,9.27668
2,1.8632,-0.169466,-0.142634,0.375,-0.026832,-1.426337,-1.694661,9.557699,9.19907
3,1.6903,-0.139234,-0.12681,0.5,-0.012424,-1.268098,-1.392338,9.499848,8.884795
4,1.6905,-0.14521,-0.148403,0.625,0.003193,-1.484025,-1.452096,9.496005,8.911194
5,1.8659,-0.164961,-0.155217,0.5,-0.009744,-1.552172,-1.649608,9.674314,9.323972
6,2.0785,-0.169571,-0.145591,0.5,-0.02398,-1.45591,-1.695709,9.718771,9.147414
7,1.5975,-0.144774,-0.14218,0.625,-0.002594,-1.421796,-1.447739,9.33511,8.990072
8,2.1112,-0.16524,-0.126951,0.375,-0.038289,-1.269507,-1.652398,9.738353,9.28166
9,1.7696,-0.160865,-0.131047,0.375,-0.029818,-1.310472,-1.608652,9.588577,8.692749
10,1.7788,-0.158578,-0.142668,0.5,-0.01591,-1.426682,-1.58578,9.704148,9.303801
11,1.3344,-0.119314,-0.128094,0.625,0.00878,-1.280942,-1.193138,9.530202,8.673136
12,1.7527,-0.149637,-0.137062,0.375,-0.012575,-1.370619,-1.496373,9.748071,9.296393
13,1.8077,-0.159661,-0.138267,0.375,-0.021394,-1.382666,-1.596609,9.595692,8.912205
14,1.6162,-0.13609,-0.150077,0.625,0.013988,-1.500772,-1.360897,9.770582,9.324256
15,1.3923,-0.127682,-0.136979,0.875,0.009296,-1.369788,-1.276824,9.657274,9.230212
16,1.7262,-0.155778,-0.130344,0.375,-0.025434,-1.303441,-1.557777,9.657187,9.01871
17,1.8638,-0.158673,-0.141217,0.25,-0.017456,-1.412166,-1.586731,9.716511,9.111752
18,1.4723,-0.127962,-0.140933,0.625,0.012971,-1.409333,-1.279624,9.751649,9.274443
19,1.4651,-0.137797,-0.133948,0.625,-0.003849,-1.339481,-1.377968,9.658356,9.250172
20,1.7186,-0.162743,-0.147241,0.375,-0.015502,-1.472413,-1.627432,9.612213,9.643343
21,1.8876,-0.152831,-0.13775,0.5,-0.015081,-1.3775,-1.528312,9.873825,9.207183
22,1.8029,-0.149362,-0.123554,0.625,-0.025808,-1.235544,-1.49362,9.8014,9.203819
23,1.7164,-0.152426,-0.140903,0.375,-0.011523,-1.409034,-1.524264,9.554905,9.363543
24,1.4701,-0.136387,-0.126407,0.375,-0.009979,-1.264072,-1.363867,9.724767,9.243019
25,1.5434,-0.13405,-0.135611,0.625,0.001561,-1.356111,-1.340505,9.710977,9.057007
26,1.6163,-0.152935,-0.140739,0.5,-0.012196,-1.407394,-1.529351,9.811498,9.607138
27,1.7394,-0.14203,-0.1262,0.375,-0.015831,-1.261998,-1.420303,9.860752,9.268357
28,1.5718,-0.150748,-0.122485,0.25,-0.028263,-1.224848,-1.507482,9.507257,9.341384
29,1.8272,-0.151546,-0.151784,0.5,0.000238,-1.517843,-1.515459,9.929426,9.175507
30,1.5438,-0.136731,-0.126042,0.375,-0.010689,-1.260422,-1.367311,9.790767,9.14274
31,1.4926,-0.125944,-0.122248,0.625,-0.003696,-1.222481,-1.259438,9.856339,8.995111
32,1.4911,-0.12641,-0.128192,0.625,0.001782,-1.281916,-1.2641,9.592542,9.161305
33,1.6403,-0.143428,-0.142269,0.5,-0.001159,-1.422691,-1.434281,9.837675,9.407284
34,1.7035,-0.149131,-0.130132,0.375,-0.018999,-1.301316,-1.491309,9.892323,8.992472
35,1.6864,-0.155627,-0.124832,0.5,-0.030796,-1.248317,-1.556272,9.647265,9.423465
36,1.4551,-0.131812,-0.130087,0.625,-0.001726,-1.300865,-1.318121,9.555394,9.365128
37,1.7565,-0.153928,-0.131859,0.25,-0.022069,-1.318585,-1.53928,9.888968,9.287715
38,1.7688,-0.152119,-0.125251,0.5,-0.026868,-1.252508,-1.521191,9.890224,9.459624
39,1.3941,-0.125817,-0.13957,0.875,0.013753,-1.395697,-1.258165,9.809074,8.95169
40,2.072,-0.166339,-0.129042,0.375,-0.037297,-1.290424,-1.66339,9.878855,9.274386
41,1.6971,-0.133398,-0.126153,0.75,-0.007245,-1.261526,-1.333978,9.469669,9.398213
42,1.3428,-0.125897,-0.133322,0.75,0.007425,-1.333218,-1.258967,9.755575,9.543541
43,1.6016,-0.148825,-0.142077,0.375,-0.006748,-1.420766,-1.488249,9.560161,9.301166
44,1.4907,-0.13652,-0.128157,0.625,-0.008362,-1.281574,-1.365196,9.941804,9.008689
45,1.7218,-0.139004,-0.132414,0.5,-0.00659,-1.324137,-1.39004,9.767929,9.330334
46,1.2953,-0.110738,-0.120406,0.625,0.009668,-1.204062,-1.107381,9.412977,9.30419
47,1.4424,-0.132853,-0.12878,0.625,-0.004073,-1.287799,-1.328533,9.941876,9.71548
48,1.2701,-0.113487,-0.108231,0.375,-0.005256,-1.082311,-1.134874,9.481382,8.888157
49,1.4118,-0.125152,-0.131452,0.625,0.006301,-1.314524,-1.251515,9.584827,9.458298
50,1.3377,-0.129443,-0.119547,0.625,-0.009897,-1.195465,-1.294431,9.657993,8.973963
51,1.4077,-0.128957,-0.128182,0.75,-0.000775,-1.281817,-1.289567,9.628563,9.091187
52,1.5069,-0.1395,-0.130925,0.375,-0.008575,-1.309249,-1.395002,9.78232,9.147782
53,1.856,-0.168046,-0.123463,0.125,-0.044583,-1.234628,-1.680456,9.538253,9.248199
54,1.8421,-0.169867,-0.123257,0.125,-0.04661,-1.232572,-1.69867,9.919728,9.371572
55,1.6468,-0.152773,-0.128774,0.375,-0.024,-1.287736,-1.527735,9.708364,9.399325
56,1.8863,-0.159758,-0.121354,0.25,-0.038404,-1.213539,-1.597582,9.858315,9.179322
57,1.5768,-0.122807,-0.12366,0.625,0.000853,-1.236598,-1.228071,9.70492,9.545378
58,1.4016,-0.112058,-0.095735,0.375,-0.016322,-0.957352,-1.120575,9.521161,8.988289
59,1.5108,-0.130946,-0.12913,0.625,-0.001816,-1.291295,-1.309457,9.875072,9.217445
60,1.127,-0.104877,-0.110235,0.5,0.005359,-1.102354,-1.048767,9.234117,8.892638
61,1.7069,-0.145046,-0.125244,0.5,-0.019802,-1.25244,-1.450456,9.658828,9.44362
62,1.6879,-0.14932,-0.121428,0.5,-0.027891,-1.214283,-1.493196,10.022463,8.868109
63,1.4366,-0.125002,-0.120608,0.375,-0.004395,-1.206075,-1.250025,9.738703,9.015279
64,1.5922,-0.138034,-0.111349,0.25,-0.026686,-1.113487,-1.380345,9.831337,9.409509
65,1.5784,-0.150545,-0.127874,0.375,-0.022671,-1.27874,-1.505446,9.716022,9.236214
66,1.4918,-0.134408,-0.112436,0.625,-0.021972,-1.124365,-1.34408,9.655664,9.490753
67,1.4572,-0.120493,-0.126013,0.625,0.00552,-1.260132,-1.204934,9.635743,8.937729
68,1.671,-0.15596,-0.123374,0.375,-0.032586,-1.23374,-1.5596,9.894952,9.029446
69,1.1722,-0.094942,-0.122691,0.875,0.027749,-1.226909,-0.949424,9.544719,8.975368
70,1.3207,-0.111151,-0.121942,0.75,0.01079,-1.219416,-1.111513,9.852091,9.325748
71,1.451,-0.128877,-0.116238,0.5,-0.012638,-1.162385,-1.288766,9.736879,9.431679
72,1.5376,-0.111897,-0.110893,0.75,-0.001004,-1.108929,-1.118966,9.66102,9.333825
73,1.9715,-0.171775,-0.119857,0.25,-0.051918,-1.198565,-1.71775,9.886436,9.319715
74,1.7188,-0.156177,-0.126207,0.375,-0.029971,-1.262066,-1.561772,9.457211,9.225983
75,1.722,-0.137208,-0.125068,0.375,-0.012141,-1.250675,-1.372084,9.843269,9.049038
76,1.1889,-0.102696,-0.114342,0.75,0.011646,-1.143423,-1.026964,9.603386,9.227038
77,1.8067,-0.14726,-0.124557,0.375,-0.022702,-1.245573,-1.472597,9.873872,9.451382
78,1.5352,-0.142061,-0.110712,0.25,-0.031349,-1.107119,-1.420609,9.744646,9.28264
79,1.4095,-0.125195,-0.099414,0.375,-0.02578,-0.994143,-1.251946,9.614368,9.468445
80,1.5434,-0.138445,-0.123743,0.375,-0.014702,-1.237432,-1.384455,9.585145,9.487562
81,1.7461,-0.13643,-0.103042,0.375,-0.033389,-1.030415,-1.364303,9.671655,9.265434
82,1.7244,-0.149106,-0.112608,0.25,-0.036498,-1.126082,-1.491059,9.95791,9.169283
83,1.392,-0.133763,-0.131231,0.5,-0.002532,-1.312312,-1.337627,10.074313,9.455507
84,1.4437,-0.137753,-0.1198,0.375,-0.017953,-1.198003,-1.377528,9.649336,9.069793
85,1.4799,-0.114086,-0.115466,0.625,0.00138,-1.15466,-1.140863,9.713212,9.187257
86,1.5223,-0.136729,-0.11705,0.5,-0.019679,-1.170497,-1.367289,9.57844,8.955968
87,1.8959,-0.149275,-0.118218,0.375,-0.031057,-1.182176,-1.492745,9.837231,9.490038
88,1.5719,-0.144741,-0.104525,0.125,-0.040216,-1.045252,-1.447412,9.795801,9.365218
89,1.629,-0.139834,-0.110526,0.375,-0.029308,-1.10526,-1.39834,9.74419,9.384056
90,1.4991,-0.140651,-0.116193,0.375,-0.024459,-1.161925,-1.406513,9.695565,8.386599
91,1.8605,-0.155609,-0.112099,0.25,-0.04351,-1.120989,-1.556086,9.938382,9.422728
92,1.5358,-0.119747,-0.096483,0.25,-0.023264,-0.964827,-1.19747,9.555206,8.809572
93,1.4637,-0.131861,-0.116274,0.5,-0.015586,-1.162743,-1.318607,9.611704,9.240474
94,1.5553,-0.145883,-0.117064,0.375,-0.028819,-1.170639,-1.458827,9.861609,9.503037
95,1.5505,-0.127979,-0.110334,0.375,-0.017645,-1.10334,-1.279793,9.645556,9.343455
96,1.3146,-0.122205,-0.123125,0.5,0.00092,-1.231253,-1.222053,9.819983,9.245918
97,1.6144,-0.147584,-0.127578,0.625,-0.020006,-1.275779,-1.475836,9.893082,9.694622
98,1.8323,-0.145944,-0.125551,0.375,-0.020393,-1.255512,-1.459444,9.858464,9.411505
99,1.7172,-0.141948,-0.113839,0.25,-0.028109,-1.13839,-1.41948,9.880453,9.629113
100,1.2099,-0.104319,-0.09508,0.5,-0.00924,-0.950795,-1.043194,9.674877,8.989988
101,1.84,-0.162032,-0.119927,0.25,-0.042105,-1.199269,-1.620318,9.736933,9.121298
102,1.7341,-0.158305,-0.12768,0.25,-0.030625,-1.2768,-1.58305,9.911537,9.01169
103,1.834,-0.16372,-0.114722,0.375,-0.048999,-1.147215,-1.637203,9.788916,9.165208
104,1.0895,-0.100986,-0.131292,0.75,0.030307,-1.312924,-1.009857,9.544941,9.0127
105,1.9999,-0.156934,-0.13392,0.5,-0.023014,-1.339196,-1.569337,9.909229,9.478445
106,1.4712,-0.120017,-0.124615,0.625,0.004597,-1.246146,-1.200175,9.762232,9.379148
107,1.6201,-0.141621,-0.122271,0.375,-0.01935,-1.222715,-1.416212,9.723076,9.136129
108,1.7927,-0.148582,-0.109851,0.375,-0.038731,-1.098512,-1.485824,9.842531,9.404239
109,1.4477,-0.128918,-0.093182,0.25,-0.035735,-0.931821,-1.289176,9.470705,8.884596
110,1.3409,-0.113703,-0.122519,0.5,0.008815,-1.225186,-1.137033,9.901753,8.737098
111,1.6023,-0.146935,-0.111291,0.375,-0.035644,-1.112907,-1.469352,9.769024,9.383389
112,1.3589,-0.1249,-0.123317,0.75,-0.001583,-1.233173,-1.249001,9.843479,9.457909
113,1.6325,-0.140656,-0.114502,0.375,-0.026154,-1.145025,-1.406564,9.761003,9.469137
114,1.4831,-0.123425,-0.120439,0.625,-0.002986,-1.204387,-1.234246,9.59455,9.494132
115,1.792,-0.157403,-0.101943,0,-0.05546,-1.019429,-1.57403,9.991763,9.440898
116,1.2501,-0.109755,-0.120403,0.625,0.010647,-1.204028,-1.097554,9.682889,9.15486
117,1.4053,-0.127239,-0.115677,0.5,-0.011562,-1.15677,-1.272394,9.597243,9.397582
118,1.3166,-0.120162,-0.127242,0.625,0.00708,-1.272424,-1.201624,9.66191,8.981445
119,1.7844,-0.137686,-0.100255,0.5,-0.037431,-1.00255,-1.376859,9.777205,9.368779
120,1.4996,-0.136907,-0.107377,0.25,-0.02953,-1.073766,-1.369067,9.699609,9.581367
121,1.5503,-0.127407,-0.112453,0.25,-0.014954,-1.124535,-1.274075,9.694601,9.395315
122,1.4023,-0.130478,-0.099986,0.25,-0.030491,-0.999864,-1.304778,9.892739,9.431861
123,1.0721,-0.097355,-0.102314,0.625,0.004959,-1.023139,-0.973551,9.680958,9.241381
124,1.5766,-0.133486,-0.109487,0.5,-0.023998,-1.094873,-1.334855,9.830958,9.61204
125,1.5797,-0.127278,-0.113656,0.5,-0.013623,-1.13656,-1.272785,9.609684,9.237029
126,1.3557,-0.110993,-0.108769,0.5,-0.002224,-1.087691,-1.109931,9.71581,9.40554
127,1.3444,-0.120258,-0.11222,0.5,-0.008039,-1.122199,-1.202584,9.608474,8.902416
128,1.5887,-0.128855,-0.11342,0.5,-0.015436,-1.134196,-1.288555,9.664455,9.311271
129,1.2046,-0.104629,-0.107694,0.625,0.003065,-1.076935,-1.04629,9.59007,9.493439
130,1.6069,-0.143979,-0.111501,0.375,-0.032477,-1.115013,-1.439787,9.642183,9.500296
131,1.5089,-0.119713,-0.106146,0.5,-0.013566,-1.061465,-1.197128,9.696375,9.405587
132,1.5049,-0.12328,-0.091665,0.375,-0.031615,-0.916653,-1.232805,9.898706,9.062014
133,1.197,-0.099121,-0.109553,0.75,0.010432,-1.095529,-0.991212,9.65448,9.052593
134,1.6614,-0.144176,-0.106442,0.25,-0.037734,-1.064423,-1.441759,9.723313,9.36929
135,1.4571,-0.119836,-0.10963,0.5,-0.010206,-1.096299,-1.198362,9.823258,9.026791
