Step,Training Loss
1,2.8464
2,2.7597
3,2.7801
4,2.6871
5,2.9196
6,2.44
7,2.4308
8,2.4467
9,2.3311
10,2.1119
11,2.2431
12,2.1491
13,2.2205
14,1.8223
15,2.1214
16,2.3613
17,2.0958
18,1.9422
19,2.0581
20,2.1407
21,2.0876
22,1.7886
23,2.0701
24,2.1087
25,2.0766
26,1.937
27,2.2022
28,1.8367
29,1.7969
30,2.0904
31,2.0442
32,2.2279
33,2.3241
34,1.8791
35,2.0103
36,2.1255
37,2.1419
38,2.0276
39,1.8467
40,2.247
41,1.8963
42,1.9567
43,1.7308
44,1.8242
45,1.7683
46,2.0482
47,2.0487
48,1.9523
49,2.0062
50,2.0094
51,2.219
52,2.1426
53,2.0566
54,2.0634
55,1.9483
56,2.0186
57,2.1386
58,2.0426
59,2.2231
60,2.0385
61,1.8164
62,2.0192
63,2.0495
64,2.1317
65,1.8072
66,1.9427
67,1.7652
68,1.8724
69,1.9607
70,2.0005
71,2.0222
72,1.8897
73,2.0397
74,2.1369
75,2.0631
76,1.8704
77,1.9649
78,1.964
79,2.2051
80,2.0027
81,2.0523
82,2.0299
83,2.0671
84,2.1543
85,2.2075
86,2.0456
87,2.0219
88,2.1296
89,1.8167
90,2.2125
91,1.8107
92,1.9315
93,1.9972
94,1.792
95,2.0151
96,2.0321
97,2.0346
98,2.0433
99,1.7293
100,1.9951
101,1.9096
102,1.602
103,1.8044
104,1.7868
105,1.8877
106,1.6852
107,1.9445
108,2.0601
109,2.1133
110,2.1224
111,2.095
112,2.1644
113,1.6681
114,2.2597
115,1.959
116,2.0243
117,1.9321
118,2.046
119,2.0789
120,2.2598
121,2.0287
122,1.8967
123,2.1609
124,1.8264
125,2.0189
126,1.9454
127,1.9354
128,1.9054
129,1.7606
130,2.0347
131,2.0722
132,1.9342
133,2.1253
134,2.0941
135,2.2188
136,1.9263
137,1.8559
138,1.8779
139,2.1723
140,2.0122
141,2.03
142,2.028
143,1.9908
144,2.07
145,1.9512
146,2.0574
147,1.9904
148,1.955
149,1.8576
150,1.9334
151,1.8801
152,1.9907
153,1.6684
154,1.9852
155,1.9745
156,1.8687
157,1.9219
158,1.9481
159,1.8477
160,2.0446
161,1.9516
162,1.9891
163,1.8492
164,1.7851
165,1.788
166,1.9089
167,1.8565
168,1.9843
169,2.0819
170,1.9783
171,1.9785
172,1.9573
173,2.0754
174,1.9378
175,1.833
176,1.6492
177,2.0103
178,2.0482
179,1.9816
180,1.8558
181,2.0758
182,2.2002
183,1.9442
184,2.0836
185,2.0412
186,2.0257
187,2.1375
188,2.0071
189,1.9069
190,2.0493
191,2.01
192,1.8253
193,1.8401
194,2.1129
195,1.8755
196,2.2692
197,1.8544
198,2.0697
199,1.9107
200,1.9793
201,2.169
202,1.9148
203,2.1787
204,1.9461
