instruction,reference,generated,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-l-p,rouge-l-r,rouge-l-f
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hello, Thanks for choosing Chat Doctor for posting your query. I have gone through your question in detail and I can understand what is going on. It looks like you may be having chronic sinusitis with nasal polyps. You will need an ENT specialist evaluation and possible CT scan of sinuses to confirm this diagnosis. Treatment includes steroids and antihistamines. Hope I am able to answer your concerns. If you have any further query, I would be glad to help you. In future if you wish to contact me directly, you can use the below-mentioned link:bit.ly/ Chat Doctor.  Regards.  Chat Doctor.",0.2625,0.30434782608695654,0.28187918965812364,0.04040404040404041,0.05063291139240506,0.04494381528784299,0.25,0.2898550724637681,0.2684563708661773
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hello dear, thank you for your contact to Chat Doctor. I read and understand your concern. I am Chat Doctor answering your concern. No, it is not normal for a child to have such type of behavior. It is not possible that she will suddenly become so aggressive without any",0.3,0.13043478260869565,0.18181817759412314,0.021739130434782608,0.008547008547008548,0.01226993459897006,0.275,0.11956521739130435,0.16666666244260803
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hello! Welcome on Chat Doctor ! I understand your concern and share your anxiety. In my opinion this is not related to any heart condition. This could be related to an anxiety disorder. It is very common for people with anxiety disorders to feel palpitations, chest pain or even heart attack sensation. I would recommend you to consult a psychologist for a careful evaluation of your situation and a possible treatment. Hope to have been helpful! Kind regards,  Chat Doctor.  Psychologist.  Ps. If my answer has helped you, please consider accepting it by clicking on the green tick below my profile, so I can get credit for helping you",0.18823529411764706,0.2191780821917808,0.20253164059846188,0.02830188679245283,0.03488372093023256,0.031249995054254256,0.18823529411764706,0.2191780821917808,0.20253164059846188
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hello, Welcome to Chat Doctor .com I am Chat Doctor. Mariano Into Bruno Mascaras. I have gone through your query with diligence and would like you to know that I am here to help you. You can ask me anything about this matter and I will be happy to help you. I wish you all the best for your health. Regards, Chat Doctor. Mariano Into Bruno Mascaras. MD, DNB, DM (HEART) FACC, FESC, FSCAI. Assistant Professor of Cardiology, Government Medical College, Kozhikode, India. Director, Interventional Cardiology and",0.21875,0.22950819672131148,0.2239999950028801,0.025974025974025976,0.02702702702702703,0.026490061227140104,0.1875,0.19672131147540983,0.19199999500288012
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
术后放疗；放射治疗；放疗；手术联合放疗；手术治疗；放化疗；放射治疗联合化疗；化疗；术后放化疗；放疗治疗；术中放疗；术后放疗治疗；术前放疗；放疗与化疗；术前放疗治疗；术中放疗治疗；放化疗治疗；术前放化疗；术前化疗；放疗及化疗；术后放疗与化疗；术后放疗及化疗；术前放疗和化疗；术前放疗与化疗；术前化疗治疗；术后放疗与放化疗；术前放疗",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hello! Welcome on Chat Doctor ! Regarding your concern, I would explain that your symptoms could be related to an allergic reaction or an infectious process (viral or bacterial). For this reason, I recommend consulting with your GP for a physical exam and some tests: - a blood count- a stool test for parasites and oocytes- a urine test- a throat swab for bacteria and viruses. An abdominal ultrasound may be needed in case of persistent pain. A chest X-ray may be needed if you have coughing up blood. Hope you will find this answer helpful! Kind regards,  Chat Doctor.  Gynecologist.  M",0.125,0.15384615384615385,0.13793102953626654,0.0,0.0,0.0,0.1125,0.13846153846153847,0.12413792608799071
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hello, Thanks for choosing Chat Doctor for posting your query. I have gone through your question in detail and I can understand what you are going through. The pain you are having is due to the nerve root compression which is causing by the disc herniation. You need to take muscle relaxants along with analgesics. If there is no relief from the above-mentioned medications then you may require surgical intervention. Hope I am able to answer your concerns. If you have any further query I will be happy to help you. In future if you wish to contact me directly, you can use the below-mentioned link:bit.ly/ Chat",0.3875,0.38271604938271603,0.3850931627020563,0.0761904761904762,0.07339449541284404,0.07476635014193413,0.375,0.37037037037037035,0.3726708024536091
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hello dear, Welcome to Chat Doctor forum. I read your question carefully and understand your concern. As you are 37 years old female with history of diabetes and hypertension, and have symptoms of pain in chest and left arm and shortness of breath. These symptoms suggest me about the possibility of angina pectoris or myocardial infarction. I advise you to consult a cardiologist for further evaluation by ECG, echocardiography, and other relevant investigations. Hope this may help you. Wishing you good health. Take care. Regards. Chat Doctor. D(General Medicine)  Medical Forum.  Chat Doctor",0.21621621621621623,0.27586206896551724,0.24242423749770445,0.05555555555555555,0.06329113924050633,0.05917159265431925,0.1891891891891892,0.2413793103448276,0.21212120719467414
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hello, I understand your concern. I am Chat Doctor, infectious diseases specialist, answering your query. In my opinion you should not worry about the infection as it is self-limiting and will go away by itself. However, if you have any symptoms like high grade fever, severe pain in abdomen, vomiting then you need to consult your doctor. Otherwise you can take plenty of fluids and rest for 2-3 days. This will help you to get over with the illness. Please maintain good hygiene. I will be happy to answer your further concern, you can ask me on bit.ly/ Chat Doctor.  Thank you. ChatDoctor",0.2,0.21794871794871795,0.20858895206443615,0.00980392156862745,0.009523809523809525,0.009661830749845056,0.15294117647058825,0.16666666666666666,0.15950919746320918
双重性中风的影像学检查有些什么？,CT检查,"
脑血管造影；数字减影血管造影(DSA)；头颅CT扫描；MRI扫描；头颅CT；磁共振成像；头颅MRI；常规MRI扫描；头颅CT和MRI扫描；MRI平扫；MR平扫；头部CT；MRA检查；脑血管DSA；脑血管造影术；MR检查；头颅MRI及MRA；常规MRI；头颅CT及MRI；头颅CT、MRI；CT与MRI检查；CT和MRI检查；CT和MRI；常规MRI扫描；MRI扫描；头颅MRI和MRA；MRI；MRI",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
