instruction,reference,generated,rouge-1-p,rouge-1-r,rouge-1-f,rouge-2-p,rouge-2-r,rouge-2-f,rouge-l-p,rouge-l-r,rouge-l-f
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Cannot say in your particular case but location and type of pain are helpful in determining both the cause and the process. The process has inflammatory components. Therefore, something that works on inflammation would seem to be warranted. A trial of steroids just to see what happens might be one option. Over the counter naproxen is certainly less damaging over time than steroids. Hope I have answered your query. Let me know if I can assist you further. ","
Hi, Thanks for asking the query, I would like to tell you that the symptoms of fever and cough are seen in viral infection also, so there is no need to worry about it, but if the cough is persistent and getting severe then it can be due to bronchitis or pneumonia. You should visit your physician and get yourself examined. The treatment of the disease depends upon the diagnosis. For now, take plenty of fluids, rest and avoid over the person with fever.  Hope this information helps. Best wishes, Chat Doctor. ",0.2692307692307692,0.30434782608695654,0.285714280733028,0.0,0.0,0.0,0.21794871794871795,0.2463768115942029,0.23129251202554504
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for posting your quarry. As you have mentioned that you had back pained for several days, I am assuming that you have been taking painkillers for the same. Painkillers if taken in large quantity cause the symptoms you have just describe die: pain in center radiating to sides in abdomen specially under breasts. This seems like severe case of gastritis / ulcers to me which needs to b treated with antacids. You must have cold milk and milk ice creams like vanilla to sooth your cramps and pain. Do NOT take any more painkillers. Also avoid spicy and oily food. I would strongly recommend you to visit your physician for prescription for medicines.  Wish you a speedy recovery. Regards","
Hello, Welcome to Chat Doctor, As your son is having fever for last 10 days and he has developed cough with cold, this suggests me that he could be having viral infection or upper respiratory tract infection. The fever which is persisting for more than 3 days should to be evaluated by your pediatrician. As your son is having fever for more than 3 days it needs to be evaluated by your pediatrician. He may need to go for investigations like blood routine test, urine routine test, chest X-ray and ESR. Till then you can give him antipyretic like paracetamol and anti-inflammatory like",0.19117647058823528,0.14130434782608695,0.16249999511250016,0.011627906976744186,0.008547008547008548,0.009852211865371637,0.17647058823529413,0.13043478260869565,0.14999999511250017
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, Thanks for using Chat Doctor. Your throat symptoms are could be due to throat infection or acid reflux. You can do salt warm water gargling 3 times a day. Avoid taking heavy meals in nighttimes. Avoid immediately going to bed after taking food. Consult a ENT specialist for complete examination of your throat. Check your TSH level to know your thyroid level now. Hope I answered your question. Feel free to ask me if you have any further queries. Wish you good health. Take care. Regards","
Hi... I understand your concern. First do not worry. The symptoms you quote can be due to -1) Common cold2) Viral illness2) Gastroenteritis3) Allergy4) Stomach infection5) Food poisoning6) Stress and anxiety. I would suggest you to visit a pediatrician for examination. Get the bloods tested for hemoglobin, sugar, sodium, potassium and kidney function test. This will help us rule out any serious condition. If everything is normal then there is nothing to worry about it. Hope my answer was helpful for you.  I am happy to help any time. Further",0.18421052631578946,0.1917808219178082,0.18791945808927538,0.02247191011235955,0.023255813953488372,0.022857137858613336,0.18421052631578946,0.1917808219178082,0.18791945808927538
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi. Thanks for your query. Vaginal spotting may not have any direct relation to the surgeries you have undergone. The pain can in fact be related as both are in and near the pelvis, so it is normal for some time to get the pains as you described. You may please attend the ER if there are associated symptoms like fever, vomiting, distension of abdomen, pain increasing with walking or changing the position in bed.","
Hi! I am Chat Doctor answering your query. If I were your doctor, I would advise you to get an X-ray of the foot to rule out any bony injury. The pain could be due to a fracture or a sprain in the ankle region. If there is no abnormality on the X-ray then it could be a soft tissue injury and needs a clinical examination by a physician for proper diagnosis and treatment. Till then, I would advise you to avoid weight-bearing activities and take up anti-inflammatory medication like ibuprofen to reduce the pain. I hope this information would help you in discussing with your family physician/treating doctor",0.2564102564102564,0.32786885245901637,0.28776977924745106,0.02912621359223301,0.04054054054054054,0.033898300218967156,0.21794871794871795,0.2786885245901639,0.24460431162155177
额叶胶质瘤术的辅助治疗有些什么？,护理干预,"
术后护理干预；心理护理；常规护理干预；综合护理干预；健康教育；围手术期护理；常规护理；整体护理；健康指导；护理干预；优质护理；心理护理干预；整体护理干预；延续性护理；围术期护理；系统化护理干预；护理；人性化护理模式；人文关怀；护理路径；一般护理措施；传统护理方式；心理护理措施；综合护理；人性化护理；临床护理路径；常规护理方法；人性化护理服务；优质护理模式；护理路径表；常规护理路径；优质护理服务；心理护理模式；常规护理干预；护理路径",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"If you are a doctor, please answer the medical questions based on the patient's description.",Its called Petrus excavated which is a congenital deformity of the frontal chest in which the chest appears like its sucked in .the corrective surgeries are of two types : 1- traditional method: involving a midline incision with removal of deformed cartilage and insertion of piece of metal to allow for normal cartilage to grow and then removed 6-12 months later 2-two incision method : at both sides of chest with insertion of thoracoscpoe and placement of curved metal to correct the deformity and left it for 2 years I hope this helps,"
Hi, Thanks for writing in. It is not uncommon to have a sore throat after tonsillectomy surgery. This is because of swelling and pain in the throat area. As long as there is no fever or pus discharge from the surgical wound, you can take over the normal diet. If your child is having difficulty in swallowing liquids then you should give him soft foods like mashed potatoes, porridge, etc. The best thing is to keep the throat moist by giving plenty of fluids. Please do not worry. Hope this helps.  Chat Doctor. ",0.16455696202531644,0.2,0.1805555506028165,0.021739130434782608,0.022222222222222223,0.021978016978626905,0.1518987341772152,0.18461538461538463,0.1666666617139276
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, You have got articular pain in both lower limbs may be due to nerve root compression in lower lumbar spine. This may be due to disc herniation in lumbosacral spine. Diagnosis can be confirmed by doing MRI of the lumbosacral spine with screening of whole spine. Please get it done from radiology center nearby you.Meanwhile, start tab regain x 75 mg one at bedtime for pain relief. Avoid forward bending and weight lifting. You can ask your doctor for detailed clinical Examination and to refer you for MRI and ask for temporary medications to relieve your pain. Hope I have answered your query. Let me know if I can assist you further.","
Hi, I understand your concern. The most common cause for the symptoms of pain in front of your ear is due to an ear infection (otitis media) or a middle ear infection (otitis externa). The pain is often due to inflammation of the muscles around the ear.  You may also have swelling and redness in the area which can be caused by an allergic reaction to something like a medication or food.  The best thing would be to see a doctor so that he can examine you and give you a proper diagnosis and treatment plan. Hope this helps. Regards. ",0.2676056338028169,0.2345679012345679,0.2499999950216413,0.041237113402061855,0.03669724770642202,0.03883494647327805,0.2676056338028169,0.2345679012345679,0.2499999950216413
"If you are a doctor, please answer the medical questions based on the patient's description.","Hello, Welcome to Chat Doctor, I have reviewed your query, your liver enzymes are high though there is no sign of liver damage seen under ultrasound, but you need to be careful as the medications you mentioned are metabolized by the liver and your daily vomit could be associated with early onset of damage to your gastro-hepatic system, hence will advise you to consult your physician or hepatologists with all your reports to review all the medications and advice accordingly. Thanks","
Hello and welcome to Chat Doctor. As a Urologist, I can understand your concern. You should consult a urologist and get yourself examined.  A detailed history of symptoms, physical examination, blood routine tests, urinalysis and ultrasound scan of abdomen will help in diagnosis. If he is having any stone, then it needs to be removed by surgery or other treatment. If there is no stone, then you need to take antibiotics for infection and anti-inflammatory medicines for pain relief.  Don't worry, you'll be alright. But first get diagnosed and then start appropriate treatment. Hope this helps. Take care Chat",0.19753086419753085,0.27586206896551724,0.23021582247502725,0.061855670103092786,0.0759493670886076,0.0681818132341171,0.19753086419753085,0.27586206896551724,0.23021582247502725
"If you are a doctor, please answer the medical questions based on the patient's description.",Your daughter is probably having a functional constipation which is there no serious organic cause of it and this is diagnosed with a careful history and a complete physical exam however the laxatives should be used regularly and dose is adjusted according to the consistency of the stool and the frequency of bowel habits dietary changes are helpful including fibers and increasing water intake you can feed her in the morning with appropriate amount of water then if she's toilet trained try to make her go to bathroom and try to pass a motion if it's done regularly its very helpful I hope this answers your question,"
Hi, Thank you for posting your query. I can understand your concern about your husband's high cholesterol levels. In my opinion, it is not safe to take statins for a long period of time. They have side effects such as muscle pain and liver damage. In addition, they also increase the risk of diabetes. Therefore, I would suggest getting his lipid profile checked after 6 months, and if there is no improvement, then we should consider taking him off the statins. I hope my answer helps. Please get back if you have any follow-up queries or if you require any additional information. Wishing you good health, Chat",0.19318181818181818,0.21794871794871795,0.20481927212657872,0.009523809523809525,0.009523809523809525,0.009523804523812148,0.14772727272727273,0.16666666666666666,0.1566265010422414
双重性中风的影像学检查有些什么？,CT检查,"
CT扫描；MRI检查；头颅CT；脑血管造影；磁共振成像(MRI)检查；头颅CT检查；常规MRI检查；核磁共振成像(MRI)检查；头颅MRI检查；头颅CT及MRI检查；头颅MRI；头颅CT扫描；头颅MRI检查；磁共振成像；头部CT检查；MRI诊断；CT及MRI检查；磁共振扫描；CT平扫；头颅CT扫描；CT、MRI检查；MRI；头颅MRI及CT；头颅MRI及CT检查；CT和MRI检查；头颅CT及",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
